hex_id,geometry,geom_time_min_5
8a1f99cdd447fff,"POLYGON ((514968.7977259789 5034811.1062466875, 515023.55319658964 5034761.93120635, 515004.3805690034 5034688.128599505, 514930.4522300441 5034663.501523124, 514875.6970861056 5034712.677039577, 514894.8699544571 5034786.479156301, 514968.7977259789 5034811.1062466875))","POLYGON ((515007.57992795244 5034658.891372815, 514916.4761252264 5034697.736158679, 514904.2625702519 5034761.476878997, 514905.97743234783 5034763.5695714485, 514926.7043227575 5034788.637832419, 514938.14258625405 5034794.597598635, 514962.1476098175 5034788.899887532, 514980.74231346307 5034750.726806621, 515007.57992795244 5034658.891372815))"
8a1f99cdd477fff,"POLYGON ((514875.6970861056 5034712.677039577, 514801.7693610492 5034688.050072089, 514747.01507177117 5034737.22520732, 514766.18818088336 5034811.02683393, 514840.1153385095 5034835.653815418, 514894.8699544571 5034786.479156301, 514875.6970861056 5034712.677039577))","POLYGON ((514798.87514776585 5034605.958577128, 514797.62383875105 5034609.48851524, 514775.27381404827 5034802.122607205, 514807.42087086296 5034834.383099764, 514810.6204999218 5034836.701459771, 514842.3921380903 5034693.49457412, 514798.87514776585 5034605.958577128))"
8a1f99cdd46ffff,"POLYGON ((515097.4815819912 5034786.558405633, 515023.55319658964 5034761.93120635, 514968.7977259789 5034811.1062466875, 514987.970314104 5034884.908010175, 515061.898132047 5034909.535223446, 515116.6539293244 5034860.360659245, 515097.4815819912 5034786.558405633))","POLYGON ((515066.23198778596 5034816.556248847, 514947.81202686345 5034817.86209957, 514981.7614951853 5034854.416124568, 514992.88467083493 5034861.308455978, 515050.51806199853 5034852.913990095, 515058.1092480128 5034849.39929138, 515072.72182309814 5034825.726212644, 515066.23198778596 5034816.556248847))"
8a1f99cdd467fff,"POLYGON ((514840.1153385095 5034835.653815418, 514859.2881674209 5034909.455088785, 514933.2153714917 5034934.082193155, 514987.970314104 5034884.908010175, 514968.7977259789 5034811.1062466875, 514894.8699544571 5034786.479156301, 514840.1153385095 5034835.653815418))","POLYGON ((514928.1954760981 5034828.947387889, 514869.2606010015 5034865.35857446, 514843.4725945687 5034881.417782965, 514849.5934141214 5034891.375433437, 514861.9041060778 5034888.6826627515, 514931.5257996991 5034842.042535347, 514940.78972058435 5034835.287636266, 514928.1954760981 5034828.947387889))"
8a1f99cdd55ffff,"POLYGON ((514840.1153385095 5034835.653815418, 514766.18818088336 5034811.02683393, 514711.4344196134 5034860.201111825, 514730.60748930956 5034934.00189508, 514804.5340794891 5034958.628890547, 514859.2881674209 5034909.455088785, 514840.1153385095 5034835.653815418))","POLYGON ((514800.2276478236 5034851.530646685, 514763.3119067708 5034872.574458412, 514720.68753455346 5034897.937894404, 514715.8261558231 5034904.2145999465, 514724.22763675166 5034918.421377615, 514804.2882156519 5034879.947730684, 514812.9335717042 5034873.535587037, 514815.8513452856 5034869.3985462375, 514800.2276478236 5034851.530646685))"
8a1f99cdd097fff,"POLYGON ((514987.970314104 5034884.908010175, 514933.2153714917 5034934.082193155, 514952.3879201633 5035007.883113254, 515026.3151706326 5035032.51034049, 515081.0704399051 5034983.336633668, 515061.898132047 5034909.535223446, 514987.970314104 5034884.908010175))","POLYGON ((515053.3537780092 5034863.519444554, 515006.0320302962 5034868.394506341, 514969.78699368786 5034981.715948463, 514988.3221032967 5034978.138372726, 514993.78346273204 5034976.040558777, 515001.02032007516 5034970.247455263, 515013.78025846183 5034956.168602865, 515025.74460161634 5034938.110597897, 515051.41938005213 5034891.10021554, 515062.3262594696 5034867.50711329, 515062.2667045818 5034866.262683227, 515053.3537780092 5034863.519444554))"
8a1f99cdd54ffff,"POLYGON ((514823.7068689702 5035032.429320524, 514897.6335055723 5035057.056438857, 514952.3879201633 5035007.883113254, 514933.2153714917 5034934.082193155, 514859.2881674209 5034909.455088785, 514804.5340794891 5034958.628890547, 514823.7068689702 5035032.429320524))","POLYGON ((514854.1119527845 5034911.1391731305, 514778.3045258161 5034999.238143098, 514865.94980566076 5035035.584793547, 514871.15342812624 5035033.35294689, 514918.45563316415 5034999.9248747, 514922.66449296963 5034991.9692084715, 514919.7584633455 5034987.86282433, 514854.1119527845 5034911.1391731305))"
8a1f99cdd40ffff,"POLYGON ((514747.01507177117 5034737.22520732, 514801.7693610492 5034688.050072089, 514782.5962125127 5034614.247602167, 514708.66853396624 5034589.62075759, 514653.9145713628 5034638.796368914, 514673.08796063333 5034712.598348725, 514747.01507177117 5034737.22520732))","POLYGON ((514739.428491839 5034620.028160381, 514733.751715499 5034687.228541299, 514739.5856297289 5034719.671445093, 514768.61246510316 5034689.454553406, 514790.95608824625 5034645.745992144, 514790.7394735468 5034644.778938195, 514739.428491839 5034620.028160381))"
8a1f99cdd407fff,"POLYGON ((514653.9145713628 5034638.796368914, 514579.9875067587 5034614.169633223, 514525.23439883 5034663.34486333, 514544.40802883403 5034737.146353036, 514618.33452603314 5034761.773102737, 514673.08796063333 5034712.598348725, 514653.9145713628 5034638.796368914))","POLYGON ((514652.5657440657 5034647.59925879, 514595.4574768934 5034651.476949984, 514581.31045945355 5034680.629288453, 514592.2820818104 5034692.508809427, 514598.2679620795 5034696.866606613, 514694.5489581243 5034689.747519383, 514652.5657440657 5034647.59925879))"
8a1f99cdd437fff,"POLYGON ((514489.6554489235 5034786.320725835, 514544.40802883403 5034737.146353036, 514525.23439883 5034663.34486333, 514451.3079481892 5034638.718236529, 514440.5305682042 5034648.397667026, 514440.24948943494 5034769.862193556, 514489.6554489235 5034786.320725835))","POLYGON ((514541.1480522489 5034672.203941707, 514461.7007347729 5034739.2898240425, 514465.18651616125 5034749.818734641, 514511.8914446346 5034738.039049191, 514541.1480522489 5034672.203941707))"
8a1f99cdd42ffff,"POLYGON ((514618.33452603314 5034761.773102737, 514637.5078759027 5034835.574239236, 514711.4344196134 5034860.201111825, 514766.18818088336 5034811.02683393, 514747.01507177117 5034737.22520732, 514673.08796063333 5034712.598348725, 514618.33452603314 5034761.773102737))","POLYGON ((514667.840156623 5034761.90928941, 514632.6339230166 5034851.126998511, 514749.07804948546 5034855.343205619, 514768.73897727876 5034795.274775535, 514667.840156623 5034761.90928941))"
8a1f99cdd427fff,"POLYGON ((514618.33452603314 5034761.773102737, 514544.40802883403 5034737.146353036, 514489.6554489235 5034786.320725835, 514508.8290395469 5034860.121372225, 514582.7549693256 5034884.748135916, 514637.5078759027 5034835.574239236, 514618.33452603314 5034761.773102737))","POLYGON ((514511.8914446346 5034738.039049191, 514473.7138408513 5034740.272918937, 514510.2445252603 5034899.414786344, 514511.42432881787 5034899.673034314, 514527.6447413777 5034879.52418585, 514561.0038487031 5034743.329790505, 514557.0521453431 5034741.643069169, 514511.8914446346 5034738.039049191))"
8a1f99cdd557fff,"POLYGON ((514601.92827980185 5034958.548429062, 514675.85425607365 5034983.175315628, 514730.60748930956 5034934.00189508, 514711.4344196134 5034860.201111825, 514637.5078759027 5034835.574239236, 514582.7549693256 5034884.748135916, 514601.92827980185 5034958.548429062))","POLYGON ((514730.2400461331 5034894.660699764, 514720.34237267636 5034895.11522048, 514636.43829177617 5034946.223825191, 514650.61917373544 5034942.635111986, 514724.22763675166 5034918.421377615, 514734.39772555634 5034911.790505394, 514730.2400461331 5034894.660699764))"
8a1f99cdd50ffff,"POLYGON ((514547.1759012756 5035007.721468397, 514601.92827980185 5034958.548429062, 514582.7549693256 5034884.748135916, 514508.8290395469 5034860.121372225, 514454.07698767964 5034909.294887696, 514473.2505389319 5034983.094690731, 514547.1759012756 5035007.721468397))","POLYGON ((514522.07338426646 5034885.277242661, 514521.6240810315 5034886.887111274, 514519.6130850068 5034894.503720668, 514506.88687053235 5034958.732855349, 514498.83197069576 5035000.786716609, 514496.60090218455 5035015.724122811, 514494.3459316638 5035030.861449683, 514493.1786349736 5035038.746648335, 514495.68405071134 5035030.253503005, 514528.5256087809 5034887.358563904, 514522.07338426646 5034885.277242661))"
8a1f99cdd547fff,"POLYGON ((514823.7068689702 5035032.429320524, 514804.5340794891 5034958.628890547, 514730.60748930956 5034934.00189508, 514675.85425607365 5034983.175315628, 514695.02728635975 5035056.9752554875, 514699.9168404846 5035058.604082006, 514794.3146559479 5035058.825652776, 514823.7068689702 5035032.429320524))","POLYGON ((514852.07044742245 5034898.424842293, 514842.11306364485 5034900.9898743415, 514743.10493741126 5034995.5670110835, 514715.2034476315 5035023.231430981, 514728.4016614443 5035048.62582071, 514847.40034365875 5034909.712376611, 514852.07044742245 5034898.424842293))"
